id_Producto,Año,Mes,Cod_AnoMes,PrEsp,Precio,Pre_Var,Ind_Var12,Pre_Var12Acum,Ind_Var12Acum,producto,marca,especificacion,nombre,Producto,Subclase,Clase,Grupo,Division,Denominación Division,Denominación Grupo,Denominación Clase,id_2001,id_2002,id_3001,id_3002,id_3003,id_3004,id_3010,id_3501,id_6001,id_7001,id_7002,id_7003
1,2018,12,201812,False,66.05328912466844,1.1277126192935538,1.079601990049751,1.1277126192935538,1.079601990049751,Aceite de girasol,Óptimo,Envase 900 cc,Aceite de girasol Óptimo Envase 900 cc,01151101,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas,1.1208053691275168,0.9561055276381909,1.0980392156862746,1.0987394957983192,1.0470809792843692,1.150793650793651,0.875,1.135116598079561,,1.0995165664426365,1.0837768300849397,1.0706603570660356
1,2019,12,201912,False,75.10723618090452,1.1370703439029015,1.0878791126353013,1.282288575843763,1.1744764549346287,Aceite de girasol,Óptimo,Envase 900 cc,Aceite de girasol Óptimo Envase 900 cc,01151101,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas,1.0,0.9878853178461621,1.090277777777778,1.090057361376673,1.089928057553957,1.0781609195402297,1.1785714285714286,1.1525679758308156,,1.2009651474530831,1.0857235772357725,1.029331993972878
1,2020,12,202012,False,90.08000000000001,1.1993518145579454,1.094128657275145,1.5379151302251406,1.2850283466388976,Aceite de girasol,Óptimo,Envase 900 cc,Aceite de girasol Óptimo Envase 900 cc,01151101,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas,1.1916167664670658,1.3591721642902745,1.0,1.0,1.0,1.0,0.7575757575757576,1.144167758846658,0.960558274136293,1.0357174747745335,1.0758401725274067,1.0098565433785498
1,2021,12,202112,False,115.18171617161715,1.278660259454009,1.07959303110791,1.9664709594319245,1.3873076478074737,Aceite de girasol,Óptimo,Envase 900 cc,Aceite de girasol Óptimo Envase 900 cc,01151101,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas,1.3316582914572865,1.0845500450150702,1.281346678798908,1.2689001929486057,1.0640264026402642,1.1974413646055437,1.48,1.0515463917525774,1.0729277972512716,1.2069574963358911,1.0615568795589956,1.113355237727097
1,2022,12,202212,False,136.05214285714285,1.1811956565608852,1.0829130136,2.322786956034106,1.5023335056775189,Aceite de girasol,Óptimo,Envase 900 cc,Aceite de girasol Óptimo Envase 900 cc,01151101,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas,1.139622641509434,1.1651748655574403,1.0634853003834683,1.065662150953829,1.167803970223325,1.1280270655270657,1.0945945945945945,0.8932461873638344,0.9958914021843608,0.9812493303332261,1.0981929764745995,1.011457338772676
2,2018,12,201812,False,62.976750700280114,1.0234648400935258,1.079601990049751,1.0234648400935258,1.079601990049751,Aceite de girasol,Río de la Plata,Envase 900 cc,Aceite de girasol Río de la Plata Envase 900 cc,01151101,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas,1.1208053691275168,0.9561055276381909,1.0980392156862746,1.0987394957983192,1.0470809792843692,1.150793650793651,0.875,1.135116598079561,,1.0995165664426365,1.0837768300849397,1.0706603570660356
2,2019,12,201912,False,68.04708994708994,1.0805112869500153,1.0878791126353013,1.1058653115175472,1.1744764549346287,Aceite de girasol,Río de la Plata,Envase 900 cc,Aceite de girasol Río de la Plata Envase 900 cc,01151101,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas,1.0,0.9878853178461621,1.090277777777778,1.090057361376673,1.089928057553957,1.0781609195402297,1.1785714285714286,1.1525679758308156,,1.2009651474530831,1.0857235772357725,1.029331993972878
2,2020,12,202012,False,105.26746987951807,1.546979745369991,1.094128657275145,1.7107512380249208,1.2850283466388976,Aceite de girasol,Río de la Plata,Envase 900 cc,Aceite de girasol Río de la Plata Envase 900 cc,01151101,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas,1.1916167664670658,1.3591721642902745,1.0,1.0,1.0,1.0,0.7575757575757576,1.144167758846658,0.960558274136293,1.0357174747745335,1.0758401725274067,1.0098565433785498
2,2021,12,202112,False,133.3129151291513,1.2664208162477175,1.07959303110791,2.1665309792563137,1.3873076478074737,Aceite de girasol,Río de la Plata,Envase 900 cc,Aceite de girasol Río de la Plata Envase 900 cc,01151101,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas,1.3316582914572865,1.0845500450150702,1.281346678798908,1.2689001929486057,1.0640264026402642,1.1974413646055437,1.48,1.0515463917525774,1.0729277972512716,1.2069574963358911,1.0615568795589956,1.113355237727097
2,2022,12,202212,False,150.78222811671088,1.1310399144046592,1.0829130136,2.4504330133331034,1.5023335056775189,Aceite de girasol,Río de la Plata,Envase 900 cc,Aceite de girasol Río de la Plata Envase 900 cc,01151101,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas,1.139622641509434,1.1651748655574403,1.0634853003834683,1.065662150953829,1.167803970223325,1.1280270655270657,1.0945945945945945,0.8932461873638344,0.9958914021843608,0.9812493303332261,1.0981929764745995,1.011457338772676
3,2018,12,201812,False,53.27816753926701,1.0876602984524857,1.079601990049751,1.0876602984524857,1.079601990049751,Aceite de girasol,Uruguay,Envase 900 cc,Aceite de girasol Uruguay Envase 900 cc,01151101,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas,1.1208053691275168,0.9561055276381909,1.0980392156862746,1.0987394957983192,1.0470809792843692,1.150793650793651,0.875,1.135116598079561,,1.0995165664426365,1.0837768300849397,1.0706603570660356
3,2019,12,201912,False,55.809549549549544,1.0475125577173212,1.0878791126353013,1.1393378211595482,1.1744764549346287,Aceite de girasol,Uruguay,Envase 900 cc,Aceite de girasol Uruguay Envase 900 cc,01151101,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas,1.0,0.9878853178461621,1.090277777777778,1.090057361376673,1.089928057553957,1.0781609195402297,1.1785714285714286,1.1525679758308156,,1.2009651474530831,1.0857235772357725,1.029331993972878
3,2020,12,202012,False,73.88887640449438,1.3239468334875812,1.094128657275145,1.508422700596824,1.2850283466388976,Aceite de girasol,Uruguay,Envase 900 cc,Aceite de girasol Uruguay Envase 900 cc,01151101,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas,1.1916167664670658,1.3591721642902745,1.0,1.0,1.0,1.0,0.7575757575757576,1.144167758846658,0.960558274136293,1.0357174747745335,1.0758401725274067,1.0098565433785498
3,2021,12,202112,False,106.88213483146068,1.446525377464793,1.07959303110791,2.1819717163572836,1.3873076478074737,Aceite de girasol,Uruguay,Envase 900 cc,Aceite de girasol Uruguay Envase 900 cc,01151101,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas,1.3316582914572865,1.0845500450150702,1.281346678798908,1.2689001929486057,1.0640264026402642,1.1974413646055437,1.48,1.0515463917525774,1.0729277972512716,1.2069574963358911,1.0615568795589956,1.113355237727097
3,2022,12,202212,False,117.00556701030929,1.094715849330779,1.0829130136,2.388639020687801,1.5023335056775189,Aceite de girasol,Uruguay,Envase 900 cc,Aceite de girasol Uruguay Envase 900 cc,01151101,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas,1.139622641509434,1.1651748655574403,1.0634853003834683,1.065662150953829,1.167803970223325,1.1280270655270657,1.0945945945945945,0.8932461873638344,0.9958914021843608,0.9812493303332261,1.0981929764745995,1.011457338772676
3003,2018,12,201812,True,55.6,1.0470809792843692,1.079601990049751,1.0470809792843692,1.079601990049751,Gasoil 10S,,Combustible,Gasoil 10S,,,,,,,,,1.1208053691275168,0.9561055276381909,1.0980392156862746,1.0987394957983192,1.0470809792843692,1.150793650793651,0.875,1.135116598079561,,1.0995165664426365,1.0837768300849397,1.0706603570660356
3003,2019,12,201912,True,60.6,1.089928057553957,1.0878791126353013,1.1412429378531075,1.1744764549346287,Gasoil 10S,,Combustible,Gasoil 10S,,,,,,,,,1.0,0.9878853178461621,1.090277777777778,1.090057361376673,1.089928057553957,1.0781609195402297,1.1785714285714286,1.1525679758308156,,1.2009651474530831,1.0857235772357725,1.029331993972878
3003,2020,12,202012,True,60.6,1.0,1.094128657275145,1.1412429378531075,1.2850283466388976,Gasoil 10S,,Combustible,Gasoil 10S,,,,,,,,,1.1916167664670658,1.3591721642902745,1.0,1.0,1.0,1.0,0.7575757575757576,1.144167758846658,0.960558274136293,1.0357174747745335,1.0758401725274067,1.0098565433785498
3003,2021,12,202112,True,64.48,1.0640264026402642,1.07959303110791,1.2143126177024486,1.3873076478074737,Gasoil 10S,,Combustible,Gasoil 10S,,,,,,,,,1.3316582914572865,1.0845500450150702,1.281346678798908,1.2689001929486057,1.0640264026402642,1.1974413646055437,1.48,1.0515463917525774,1.0729277972512716,1.2069574963358911,1.0615568795589956,1.113355237727097
3003,2022,12,202212,True,75.3,1.167803970223325,1.0829130136,1.418079096045198,1.5023335056775189,Gasoil 10S,,Combustible,Gasoil 10S,,,,,,,,,1.139622641509434,1.1651748655574403,1.0634853003834683,1.065662150953829,1.167803970223325,1.1280270655270657,1.0945945945945945,0.8932461873638344,0.9958914021843608,0.9812493303332261,1.0981929764745995,1.011457338772676
3501,2018,12,201812,True,33.1,1.135116598079561,1.079601990049751,1.135116598079561,1.079601990049751,Dólar USA Venta,,Dólar,Dólar USA Venta,,,,,,,,,1.1208053691275168,0.9561055276381909,1.0980392156862746,1.0987394957983192,1.0470809792843692,1.150793650793651,0.875,1.135116598079561,,1.0995165664426365,1.0837768300849397,1.0706603570660356
3501,2019,12,201912,True,38.15,1.1525679758308156,1.0878791126353013,1.3082990397805212,1.1744764549346287,Dólar USA Venta,,Dólar,Dólar USA Venta,,,,,,,,,1.0,0.9878853178461621,1.090277777777778,1.090057361376673,1.089928057553957,1.0781609195402297,1.1785714285714286,1.1525679758308156,,1.2009651474530831,1.0857235772357725,1.029331993972878
3501,2020,12,202012,True,43.65,1.144167758846658,1.094128657275145,1.4969135802469136,1.2850283466388976,Dólar USA Venta,,Dólar,Dólar USA Venta,,,,,,,,,1.1916167664670658,1.3591721642902745,1.0,1.0,1.0,1.0,0.7575757575757576,1.144167758846658,0.960558274136293,1.0357174747745335,1.0758401725274067,1.0098565433785498
3501,2021,12,202112,True,45.9,1.0515463917525774,1.07959303110791,1.5740740740740742,1.3873076478074737,Dólar USA Venta,,Dólar,Dólar USA Venta,,,,,,,,,1.3316582914572865,1.0845500450150702,1.281346678798908,1.2689001929486057,1.0640264026402642,1.1974413646055437,1.48,1.0515463917525774,1.0729277972512716,1.2069574963358911,1.0615568795589956,1.113355237727097
3501,2022,12,202212,True,41.0,0.8932461873638344,1.0829130136,1.4060356652949246,1.5023335056775189,Dólar USA Venta,,Dólar,Dólar USA Venta,,,,,,,,,1.139622641509434,1.1651748655574403,1.0634853003834683,1.065662150953829,1.167803970223325,1.1280270655270657,1.0945945945945945,0.8932461873638344,0.9958914021843608,0.9812493303332261,1.0981929764745995,1.011457338772676
